City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Ancud,CL,2022-11-09 04:20:38,-41.8697,-73.8203,51.42,97,36,1.7
250,Dudinka,RU,2022-11-09 04:20:38,69.4058,86.1778,-21.89,100,93,3.8
251,Banda Aceh,ID,2022-11-09 04:08:04,5.5577,95.3222,84.07,68,75,1.1
252,Isangel,VU,2022-11-09 04:20:38,-19.55,169.2667,82.45,73,98,8.86
253,Fortuna,US,2022-11-09 04:20:39,40.5982,-124.1573,44.94,96,100,4.61
254,Pathein,MM,2022-11-09 04:20:39,16.7833,94.7333,82.87,62,42,8.37
255,Kharp,RU,2022-11-09 04:20:39,66.8014,65.8081,16.63,97,99,3.44
256,Goderich,CA,2022-11-09 04:20:40,43.7501,-81.7165,37.9,75,29,12.66
257,Korgen,NO,2022-11-09 04:20:40,66.0771,13.8153,32.32,78,5,8.46
258,Tanout,NE,2022-11-09 04:20:40,14.9709,8.8879,70.02,22,25,11.12
259,Alterosa,BR,2022-11-09 04:20:40,-21.2492,-46.1431,59.25,95,33,3.71
260,Kamenka,RU,2022-11-09 04:20:41,51.3223,42.7678,35.04,87,100,7.34
261,Te Anau,NZ,2022-11-09 04:11:03,-45.4167,167.7167,66.09,49,67,7.14
262,Lulea,SE,2022-11-09 04:20:41,65.5842,22.1547,26.67,93,100,4.61
263,Flinders,AU,2022-11-09 04:20:41,-34.5833,150.8552,73.06,64,43,12.62
264,Butte,US,2022-11-09 04:20:42,39.6499,-121.5677,44.62,92,100,5.75
265,Northam,GB,2022-11-09 04:20:42,51.0333,-4.2167,50.61,96,99,19.66
266,Sekoma,BW,2022-11-09 04:20:42,-24.4,23.8833,66.13,64,0,5.59
267,Nikolskoye,RU,2022-11-09 04:20:42,59.7035,30.7861,42.8,96,100,4.41
268,Perelyub,RU,2022-11-09 04:20:43,51.8667,50.3667,30.56,86,50,8.97
269,Peterhead,GB,2022-11-09 04:20:43,57.5058,-1.7981,45.0,80,32,16.46
270,Poum,NC,2022-11-09 04:20:43,-20.2333,164.0167,76.87,81,41,25.99
271,Almeirim,BR,2022-11-09 04:20:44,-1.5233,-52.5817,73.24,96,100,1.86
272,Rewari,IN,2022-11-09 04:20:44,28.1833,76.6167,75.22,50,26,6.13
273,Yumen,CN,2022-11-09 04:20:44,40.2833,97.2,47.68,25,8,15.03
274,Touros,BR,2022-11-09 04:20:44,-5.1989,-35.4608,77.11,80,33,9.84
275,Palmer,US,2022-11-09 04:18:17,42.1584,-72.3287,40.24,54,0,9.22
276,Sungaipenuh,ID,2022-11-09 04:20:45,-2.0833,101.3833,74.55,71,100,2.06
277,Vila Franca Do Campo,PT,2022-11-09 04:20:45,37.7167,-25.4333,64.81,83,34,7.81
278,Houston,US,2022-11-09 04:16:50,29.7633,-95.3633,74.05,82,75,9.22
279,Dubbo,AU,2022-11-09 04:20:45,-32.25,148.6167,78.93,31,40,10.36
280,Cidreira,BR,2022-11-09 04:20:46,-30.1811,-50.2056,61.72,87,95,8.5
281,Bonavista,CA,2022-11-09 04:21:46,48.6499,-53.1147,36.64,89,100,33.62
282,Mandalgovi,MN,2022-11-09 04:21:46,45.7625,106.2708,41.86,27,1,9.51
283,Sile,TR,2022-11-09 04:21:46,41.1754,29.6133,52.57,66,53,1.01
284,Indramayu,ID,2022-11-09 04:17:08,-6.3264,108.32,83.21,69,91,4.52
285,Kurilsk,RU,2022-11-09 04:21:47,45.2333,147.8833,44.08,57,52,12.75
286,Waingapu,ID,2022-11-09 04:21:47,-9.6567,120.2641,81.34,71,100,1.05
287,Edd,ER,2022-11-09 04:21:47,13.9297,41.6925,83.77,59,0,14.05
288,Bandarbeyla,SO,2022-11-09 04:21:47,9.4942,50.8122,80.01,78,14,8.68
289,Tarko-Sale,RU,2022-11-09 04:21:48,64.9225,77.785,9.57,96,100,8.41
290,Kaitangata,NZ,2022-11-09 04:21:48,-46.2817,169.8464,57.36,70,92,14.12
291,Westport,US,2022-11-09 04:18:48,41.1415,-73.3579,48.81,43,0,4.61
292,Porto Walter,BR,2022-11-09 04:21:48,-8.2686,-72.7439,76.3,58,27,1.57
